Unnamed: 0,year,key,n_works,issn,oa_status,Dim_count,Publisher_Journalname,unique_id,Publisher,ISSN_1
8,2020,bronze,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
9,2020,hybrid,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
10,2021,gold,685,0160-4120,gold,663.0,Elsevier_Environment International,1000,Elsevier,0160-4120
11,2021,closed,2,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
12,2021,green,2,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
13,2021,bronze,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
14,2021,hybrid,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
15,2022,gold,698,0160-4120,gold,611.0,Elsevier_Environment International,1000,Elsevier,0160-4120
16,2022,closed,33,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
17,2022,green,24,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
18,2022,bronze,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
19,2022,hybrid,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
20,2023,gold,660,0160-4120,gold,638.0,Elsevier_Environment International,1000,Elsevier,0160-4120
21,2023,bronze,3,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
22,2023,green,2,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
23,2023,closed,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
24,2023,hybrid,0,0160-4120,,0.0,Elsevier_Environment International,1000,Elsevier,0160-4120
0,2019,gold,10,2590-0420,gold,3.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
1,2019,closed,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
2,2019,bronze,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
3,2019,green,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
4,2019,hybrid,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
5,2020,gold,26,2590-0420,gold,11.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
6,2020,closed,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
7,2020,bronze,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
8,2020,green,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
9,2020,hybrid,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
10,2021,gold,12,2590-0420,gold,5.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
11,2021,closed,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
12,2021,bronze,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
13,2021,green,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
14,2021,hybrid,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
15,2022,closed,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
16,2022,bronze,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
17,2022,gold,0,2590-0420,gold,1.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
18,2022,green,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
19,2022,hybrid,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
20,2023,gold,8,2590-0420,gold,3.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
21,2023,green,1,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
22,2023,closed,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
23,2023,bronze,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
24,2023,hybrid,0,2590-0420,,0.0,Elsevier_The Journal of Pediatrics: X,3076,Elsevier,2590-0420
0,2019,gold,38,2590-1567,gold,34.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
1,2019,closed,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
2,2019,bronze,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
3,2019,green,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
4,2019,hybrid,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
5,2020,gold,25,2590-1567,gold,23.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
6,2020,closed,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
7,2020,bronze,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
8,2020,green,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
9,2020,hybrid,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
10,2021,gold,35,2590-1567,gold,36.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
11,2021,green,2,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
12,2021,closed,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
13,2021,bronze,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
14,2021,hybrid,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
15,2022,gold,31,2590-1567,gold,43.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
16,2022,green,6,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
17,2022,closed,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
18,2022,bronze,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
19,2022,hybrid,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
20,2023,gold,40,2590-1567,gold,64.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
21,2023,hybrid,29,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
22,2023,green,8,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
23,2023,closed,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
24,2023,bronze,0,2590-1567,,0.0,Elsevier_International Journal of Pharmaceutics: X,1469,Elsevier,2590-1567
0,2019,gold,11,2590-1370,gold,10.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
1,2019,closed,1,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
2,2019,green,1,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
3,2019,bronze,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
4,2019,hybrid,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
5,2020,gold,7,2590-1370,gold,4.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
6,2020,closed,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
7,2020,bronze,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
8,2020,green,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
9,2020,hybrid,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
10,2021,gold,14,2590-1370,gold,11.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
11,2021,closed,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
12,2021,bronze,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
13,2021,green,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
14,2021,hybrid,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
15,2022,gold,130,2590-1370,gold,169.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
16,2022,closed,36,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
17,2022,green,5,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
18,2022,bronze,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
19,2022,hybrid,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
20,2023,gold,93,2590-1370,gold,106.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
21,2023,hybrid,15,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
22,2023,green,4,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
23,2023,closed,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
24,2023,bronze,0,2590-1370,,0.0,Elsevier_Biosensors and Bioelectronics: X,389,Elsevier,2590-1370
0,2019,hybrid,40,2590-1400,hybrid,37.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
1,2019,gold,2,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
2,2019,bronze,1,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
3,2019,closed,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
4,2019,green,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
5,2020,hybrid,29,2590-1400,hybrid,31.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
6,2020,gold,3,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
7,2020,closed,1,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
8,2020,bronze,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
9,2020,green,0,2590-1400,green,1.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
10,2021,hybrid,28,2590-1400,hybrid,28.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
11,2021,gold,2,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
12,2021,closed,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
13,2021,bronze,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
14,2021,green,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
15,2022,hybrid,3,2590-1400,hybrid,2.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
16,2022,closed,0,2590-1400,closed,1.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
17,2022,bronze,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
18,2022,gold,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
19,2022,green,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
20,2023,closed,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
21,2023,bronze,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
22,2023,gold,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
23,2023,green,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
24,2023,hybrid,0,2590-1400,,0.0,Elsevier_Chemical Engineering Science: X,511,Elsevier,2590-1400
